referencia,titulo,categoria,preco,descricao,variacao,estoque,marca,image0,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,video1
67015A,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015A

Material: Verniz Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Preto;

Solado de TR coletado na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",34,0,Torricella,img/67015A/Sapato Scarpin Chanel 0.jpg,img/67015A/Sapato Scarpin Chanel 1.jpg,img/67015A/Sapato Scarpin Chanel 2.jpg,img/67015A/Sapato Scarpin Chanel 3.jpg,img/67015A/Sapato Scarpin Chanel 4.jpg,img/67015A/Sapato Scarpin Chanel 5.jpg,img/67015A/Sapato Scarpin Chanel 6.jpg,img/67015A/Sapato Scarpin Chanel 7.jpg,img/67015A/Sapato Scarpin Chanel 8.jpg,img/67015A/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015A,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015A

Material: Verniz Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Preto;

Solado de TR coletado na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",35,7,Torricella,img/67015A/Sapato Scarpin Chanel 0.jpg,img/67015A/Sapato Scarpin Chanel 1.jpg,img/67015A/Sapato Scarpin Chanel 2.jpg,img/67015A/Sapato Scarpin Chanel 3.jpg,img/67015A/Sapato Scarpin Chanel 4.jpg,img/67015A/Sapato Scarpin Chanel 5.jpg,img/67015A/Sapato Scarpin Chanel 6.jpg,img/67015A/Sapato Scarpin Chanel 7.jpg,img/67015A/Sapato Scarpin Chanel 8.jpg,img/67015A/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015A,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015A

Material: Verniz Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Preto;

Solado de TR coletado na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",36,9,Torricella,img/67015A/Sapato Scarpin Chanel 0.jpg,img/67015A/Sapato Scarpin Chanel 1.jpg,img/67015A/Sapato Scarpin Chanel 2.jpg,img/67015A/Sapato Scarpin Chanel 3.jpg,img/67015A/Sapato Scarpin Chanel 4.jpg,img/67015A/Sapato Scarpin Chanel 5.jpg,img/67015A/Sapato Scarpin Chanel 6.jpg,img/67015A/Sapato Scarpin Chanel 7.jpg,img/67015A/Sapato Scarpin Chanel 8.jpg,img/67015A/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015A,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015A

Material: Verniz Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Preto;

Solado de TR coletado na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",37,9,Torricella,img/67015A/Sapato Scarpin Chanel 0.jpg,img/67015A/Sapato Scarpin Chanel 1.jpg,img/67015A/Sapato Scarpin Chanel 2.jpg,img/67015A/Sapato Scarpin Chanel 3.jpg,img/67015A/Sapato Scarpin Chanel 4.jpg,img/67015A/Sapato Scarpin Chanel 5.jpg,img/67015A/Sapato Scarpin Chanel 6.jpg,img/67015A/Sapato Scarpin Chanel 7.jpg,img/67015A/Sapato Scarpin Chanel 8.jpg,img/67015A/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015A,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015A

Material: Verniz Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Preto;

Solado de TR coletado na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",38,5,Torricella,img/67015A/Sapato Scarpin Chanel 0.jpg,img/67015A/Sapato Scarpin Chanel 1.jpg,img/67015A/Sapato Scarpin Chanel 2.jpg,img/67015A/Sapato Scarpin Chanel 3.jpg,img/67015A/Sapato Scarpin Chanel 4.jpg,img/67015A/Sapato Scarpin Chanel 5.jpg,img/67015A/Sapato Scarpin Chanel 6.jpg,img/67015A/Sapato Scarpin Chanel 7.jpg,img/67015A/Sapato Scarpin Chanel 8.jpg,img/67015A/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015A,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015A

Material: Verniz Preto;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Preto;

Solado de TR coletado na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",39,1,Torricella,img/67015A/Sapato Scarpin Chanel 0.jpg,img/67015A/Sapato Scarpin Chanel 1.jpg,img/67015A/Sapato Scarpin Chanel 2.jpg,img/67015A/Sapato Scarpin Chanel 3.jpg,img/67015A/Sapato Scarpin Chanel 4.jpg,img/67015A/Sapato Scarpin Chanel 5.jpg,img/67015A/Sapato Scarpin Chanel 6.jpg,img/67015A/Sapato Scarpin Chanel 7.jpg,img/67015A/Sapato Scarpin Chanel 8.jpg,img/67015A/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015B,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015B

Material: Verniz Rose;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Rose;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",34,3,Torricella,img/67015B/Sapato Scarpin Chanel 0.jpg,img/67015B/Sapato Scarpin Chanel 1.jpg,img/67015B/Sapato Scarpin Chanel 2.jpg,img/67015B/Sapato Scarpin Chanel 3.jpg,img/67015B/Sapato Scarpin Chanel 4.jpg,img/67015B/Sapato Scarpin Chanel 5.jpg,img/67015B/Sapato Scarpin Chanel 6.jpg,img/67015B/Sapato Scarpin Chanel 7.jpg,img/67015B/Sapato Scarpin Chanel 8.jpg,img/67015B/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015B,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015B

Material: Verniz Rose;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Rose;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",35,11,Torricella,img/67015B/Sapato Scarpin Chanel 0.jpg,img/67015B/Sapato Scarpin Chanel 1.jpg,img/67015B/Sapato Scarpin Chanel 2.jpg,img/67015B/Sapato Scarpin Chanel 3.jpg,img/67015B/Sapato Scarpin Chanel 4.jpg,img/67015B/Sapato Scarpin Chanel 5.jpg,img/67015B/Sapato Scarpin Chanel 6.jpg,img/67015B/Sapato Scarpin Chanel 7.jpg,img/67015B/Sapato Scarpin Chanel 8.jpg,img/67015B/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015B,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015B

Material: Verniz Rose;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Rose;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",36,17,Torricella,img/67015B/Sapato Scarpin Chanel 0.jpg,img/67015B/Sapato Scarpin Chanel 1.jpg,img/67015B/Sapato Scarpin Chanel 2.jpg,img/67015B/Sapato Scarpin Chanel 3.jpg,img/67015B/Sapato Scarpin Chanel 4.jpg,img/67015B/Sapato Scarpin Chanel 5.jpg,img/67015B/Sapato Scarpin Chanel 6.jpg,img/67015B/Sapato Scarpin Chanel 7.jpg,img/67015B/Sapato Scarpin Chanel 8.jpg,img/67015B/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015B,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015B

Material: Verniz Rose;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Rose;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",37,15,Torricella,img/67015B/Sapato Scarpin Chanel 0.jpg,img/67015B/Sapato Scarpin Chanel 1.jpg,img/67015B/Sapato Scarpin Chanel 2.jpg,img/67015B/Sapato Scarpin Chanel 3.jpg,img/67015B/Sapato Scarpin Chanel 4.jpg,img/67015B/Sapato Scarpin Chanel 5.jpg,img/67015B/Sapato Scarpin Chanel 6.jpg,img/67015B/Sapato Scarpin Chanel 7.jpg,img/67015B/Sapato Scarpin Chanel 8.jpg,img/67015B/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015B,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015B

Material: Verniz Rose;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Rose;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",38,13,Torricella,img/67015B/Sapato Scarpin Chanel 0.jpg,img/67015B/Sapato Scarpin Chanel 1.jpg,img/67015B/Sapato Scarpin Chanel 2.jpg,img/67015B/Sapato Scarpin Chanel 3.jpg,img/67015B/Sapato Scarpin Chanel 4.jpg,img/67015B/Sapato Scarpin Chanel 5.jpg,img/67015B/Sapato Scarpin Chanel 6.jpg,img/67015B/Sapato Scarpin Chanel 7.jpg,img/67015B/Sapato Scarpin Chanel 8.jpg,img/67015B/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015B,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015B

Material: Verniz Rose;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Rose;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",39,1,Torricella,img/67015B/Sapato Scarpin Chanel 0.jpg,img/67015B/Sapato Scarpin Chanel 1.jpg,img/67015B/Sapato Scarpin Chanel 2.jpg,img/67015B/Sapato Scarpin Chanel 3.jpg,img/67015B/Sapato Scarpin Chanel 4.jpg,img/67015B/Sapato Scarpin Chanel 5.jpg,img/67015B/Sapato Scarpin Chanel 6.jpg,img/67015B/Sapato Scarpin Chanel 7.jpg,img/67015B/Sapato Scarpin Chanel 8.jpg,img/67015B/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015C,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015C

Material: Verniz Off White;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Off White;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",34,5,Torricella,img/67015C/Sapato Scarpin Chanel 0.jpg,img/67015C/Sapato Scarpin Chanel 1.jpg,img/67015C/Sapato Scarpin Chanel 2.jpg,img/67015C/Sapato Scarpin Chanel 3.jpg,img/67015C/Sapato Scarpin Chanel 4.jpg,img/67015C/Sapato Scarpin Chanel 5.jpg,img/67015C/Sapato Scarpin Chanel 6.jpg,img/67015C/Sapato Scarpin Chanel 7.jpg,img/67015C/Sapato Scarpin Chanel 8.jpg,img/67015C/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015C,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015C

Material: Verniz Off White;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Off White;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",35,9,Torricella,img/67015C/Sapato Scarpin Chanel 0.jpg,img/67015C/Sapato Scarpin Chanel 1.jpg,img/67015C/Sapato Scarpin Chanel 2.jpg,img/67015C/Sapato Scarpin Chanel 3.jpg,img/67015C/Sapato Scarpin Chanel 4.jpg,img/67015C/Sapato Scarpin Chanel 5.jpg,img/67015C/Sapato Scarpin Chanel 6.jpg,img/67015C/Sapato Scarpin Chanel 7.jpg,img/67015C/Sapato Scarpin Chanel 8.jpg,img/67015C/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015C,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015C

Material: Verniz Off White;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Off White;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",36,9,Torricella,img/67015C/Sapato Scarpin Chanel 0.jpg,img/67015C/Sapato Scarpin Chanel 1.jpg,img/67015C/Sapato Scarpin Chanel 2.jpg,img/67015C/Sapato Scarpin Chanel 3.jpg,img/67015C/Sapato Scarpin Chanel 4.jpg,img/67015C/Sapato Scarpin Chanel 5.jpg,img/67015C/Sapato Scarpin Chanel 6.jpg,img/67015C/Sapato Scarpin Chanel 7.jpg,img/67015C/Sapato Scarpin Chanel 8.jpg,img/67015C/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015C,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015C

Material: Verniz Off White;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Off White;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",37,12,Torricella,img/67015C/Sapato Scarpin Chanel 0.jpg,img/67015C/Sapato Scarpin Chanel 1.jpg,img/67015C/Sapato Scarpin Chanel 2.jpg,img/67015C/Sapato Scarpin Chanel 3.jpg,img/67015C/Sapato Scarpin Chanel 4.jpg,img/67015C/Sapato Scarpin Chanel 5.jpg,img/67015C/Sapato Scarpin Chanel 6.jpg,img/67015C/Sapato Scarpin Chanel 7.jpg,img/67015C/Sapato Scarpin Chanel 8.jpg,img/67015C/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015C,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015C

Material: Verniz Off White;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Off White;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",38,11,Torricella,img/67015C/Sapato Scarpin Chanel 0.jpg,img/67015C/Sapato Scarpin Chanel 1.jpg,img/67015C/Sapato Scarpin Chanel 2.jpg,img/67015C/Sapato Scarpin Chanel 3.jpg,img/67015C/Sapato Scarpin Chanel 4.jpg,img/67015C/Sapato Scarpin Chanel 5.jpg,img/67015C/Sapato Scarpin Chanel 6.jpg,img/67015C/Sapato Scarpin Chanel 7.jpg,img/67015C/Sapato Scarpin Chanel 8.jpg,img/67015C/Sapato Scarpin Chanel 9.mp4,,,,,,,
67015C,Sapato Scarpin Chanel,Calçados Femininos Sapato Scarpin,"R$ 96,90","Código Ref.: 67015C

Material: Verniz Off White;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege;

Enfeite: Pirâmide Grande Dourado;

Salto: 9 cm de Altura Revestido em Verniz Off White;

Solado de TR coletado na cor Bege.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",39,4,Torricella,img/67015C/Sapato Scarpin Chanel 0.jpg,img/67015C/Sapato Scarpin Chanel 1.jpg,img/67015C/Sapato Scarpin Chanel 2.jpg,img/67015C/Sapato Scarpin Chanel 3.jpg,img/67015C/Sapato Scarpin Chanel 4.jpg,img/67015C/Sapato Scarpin Chanel 5.jpg,img/67015C/Sapato Scarpin Chanel 6.jpg,img/67015C/Sapato Scarpin Chanel 7.jpg,img/67015C/Sapato Scarpin Chanel 8.jpg,img/67015C/Sapato Scarpin Chanel 9.mp4,,,,,,,
12003A,Sandália Tamanco Feminino,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 12003A

Material: Nobuck Preto / Manta de Strass Preto e Ouro com base em Vinil;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso Triangular com 8,5 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",34,10,Torricella,img/12003A/Sandalia Tamanco Feminino 0.jpg,img/12003A/Sandalia Tamanco Feminino 1.jpg,img/12003A/Sandalia Tamanco Feminino 2.jpg,img/12003A/Sandalia Tamanco Feminino 3.jpg,img/12003A/Sandalia Tamanco Feminino 4.jpg,img/12003A/Sandalia Tamanco Feminino 5.mp4,,,,,,,,,,,
12003A,Sandália Tamanco Feminino,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 12003A

Material: Nobuck Preto / Manta de Strass Preto e Ouro com base em Vinil;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso Triangular com 8,5 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",35,19,Torricella,img/12003A/Sandalia Tamanco Feminino 0.jpg,img/12003A/Sandalia Tamanco Feminino 1.jpg,img/12003A/Sandalia Tamanco Feminino 2.jpg,img/12003A/Sandalia Tamanco Feminino 3.jpg,img/12003A/Sandalia Tamanco Feminino 4.jpg,img/12003A/Sandalia Tamanco Feminino 5.mp4,,,,,,,,,,,
12003A,Sandália Tamanco Feminino,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 12003A

Material: Nobuck Preto / Manta de Strass Preto e Ouro com base em Vinil;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso Triangular com 8,5 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",36,29,Torricella,img/12003A/Sandalia Tamanco Feminino 0.jpg,img/12003A/Sandalia Tamanco Feminino 1.jpg,img/12003A/Sandalia Tamanco Feminino 2.jpg,img/12003A/Sandalia Tamanco Feminino 3.jpg,img/12003A/Sandalia Tamanco Feminino 4.jpg,img/12003A/Sandalia Tamanco Feminino 5.mp4,,,,,,,,,,,
12003A,Sandália Tamanco Feminino,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 12003A

Material: Nobuck Preto / Manta de Strass Preto e Ouro com base em Vinil;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso Triangular com 8,5 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",37,29,Torricella,img/12003A/Sandalia Tamanco Feminino 0.jpg,img/12003A/Sandalia Tamanco Feminino 1.jpg,img/12003A/Sandalia Tamanco Feminino 2.jpg,img/12003A/Sandalia Tamanco Feminino 3.jpg,img/12003A/Sandalia Tamanco Feminino 4.jpg,img/12003A/Sandalia Tamanco Feminino 5.mp4,,,,,,,,,,,
12003A,Sandália Tamanco Feminino,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 12003A

Material: Nobuck Preto / Manta de Strass Preto e Ouro com base em Vinil;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso Triangular com 8,5 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",38,17,Torricella,img/12003A/Sandalia Tamanco Feminino 0.jpg,img/12003A/Sandalia Tamanco Feminino 1.jpg,img/12003A/Sandalia Tamanco Feminino 2.jpg,img/12003A/Sandalia Tamanco Feminino 3.jpg,img/12003A/Sandalia Tamanco Feminino 4.jpg,img/12003A/Sandalia Tamanco Feminino 5.mp4,,,,,,,,,,,
12003A,Sandália Tamanco Feminino,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 12003A

Material: Nobuck Preto / Manta de Strass Preto e Ouro com base em Vinil;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso Triangular com 8,5 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",39,9,Torricella,img/12003A/Sandalia Tamanco Feminino 0.jpg,img/12003A/Sandalia Tamanco Feminino 1.jpg,img/12003A/Sandalia Tamanco Feminino 2.jpg,img/12003A/Sandalia Tamanco Feminino 3.jpg,img/12003A/Sandalia Tamanco Feminino 4.jpg,img/12003A/Sandalia Tamanco Feminino 5.mp4,,,,,,,,,,,
45076A,Sandália Feminina,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 45076A

Material: Nobuck Preto / Tubo de Strass Colorido;

Enfeite: Tubo de Strass Colorido com base em silicone e Fivela Dourado;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso com 9 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",34,6,Torricella,img/45076A/Sandalia Feminina 0.jpg,img/45076A/Sandalia Feminina 1.jpg,img/45076A/Sandalia Feminina 2.jpg,img/45076A/Sandalia Feminina 3.jpg,img/45076A/Sandalia Feminina 4.jpg,img/45076A/Sandalia Feminina 5.mp4,,,,,,,,,,,
45076A,Sandália Feminina,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 45076A

Material: Nobuck Preto / Tubo de Strass Colorido;

Enfeite: Tubo de Strass Colorido com base em silicone e Fivela Dourado;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso com 9 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",35,14,Torricella,img/45076A/Sandalia Feminina 0.jpg,img/45076A/Sandalia Feminina 1.jpg,img/45076A/Sandalia Feminina 2.jpg,img/45076A/Sandalia Feminina 3.jpg,img/45076A/Sandalia Feminina 4.jpg,img/45076A/Sandalia Feminina 5.mp4,,,,,,,,,,,
45076A,Sandália Feminina,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 45076A

Material: Nobuck Preto / Tubo de Strass Colorido;

Enfeite: Tubo de Strass Colorido com base em silicone e Fivela Dourado;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso com 9 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",36,22,Torricella,img/45076A/Sandalia Feminina 0.jpg,img/45076A/Sandalia Feminina 1.jpg,img/45076A/Sandalia Feminina 2.jpg,img/45076A/Sandalia Feminina 3.jpg,img/45076A/Sandalia Feminina 4.jpg,img/45076A/Sandalia Feminina 5.mp4,,,,,,,,,,,
45076A,Sandália Feminina,Calçados Femininos Sandálias,"R$ 94,90","Código Ref.: 45076A

Material: Nobuck Preto / Tubo de Strass Colorido;

Enfeite: Tubo de Strass Colorido com base em silicone e Fivela Dourado;

Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege;

Salto: Grosso com 9 cm de Altura Revestido em Nobuck Preto;

Solado de TR com antiderrapante na cor Preto.
Dimensões da Caixa: 28 x 20 x 9,5 cm
Peso do Produto na Caixa: 600 gramas (aproximadamente)",37,15,Torricella,img/45076A/Sandalia Feminina 0.jpg,img/45076A/Sandalia Feminina 1.jpg,img/45076A/Sandalia Feminina 2.jpg,img/45076A/Sandalia Feminina 3.jpg,img/45076A/Sandalia Feminina 4.jpg,img/45076A/Sandalia Feminina 5.mp4,,,,,,,,,,,
